% Model:              1D_grating.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 05:09
% Table:              Table 4 - Global Evaluation 1
% lambda0 (µm)                                    Reflectance, order 0 (1)                          Reflectance, order 0 (1)                          Reflectance, order 0 (1)                          Reflectance, order 0 (1)                          Reflectance, order 0 (1)                          Reflectance, order 0 (1)
10.526                                            0.78894                                           0.76773                                           0.75432                                           0.74239                                           0.73247                                           0.72513
10.531                                            0.77267                                           0.75182                                           0.73892                                           0.72732                                           0.71781                                           0.71091
10.536                                            0.75341                                           0.73302                                           0.72056                                           0.70931                                           0.70024                                           0.69379
10.541                                            0.73181                                           0.71198                                           0.69991                                           0.68901                                           0.68036                                           0.67434
10.546                                            0.70915                                           0.69003                                           0.67826                                           0.66770                                           0.65943                                           0.65382
10.551                                            0.68783                                           0.66947                                           0.65791                                           0.64767                                           0.63972                                           0.63442
10.556                                            0.67096                                           0.65326                                           0.64176                                           0.63170                                           0.62394                                           0.61882
10.561                                            0.65953                                           0.64220                                           0.63053                                           0.62049                                           0.61271                                           0.60756
10.566                                            0.65188                                           0.63445                                           0.62234                                           0.61203                                           0.60397                                           0.59850
10.571                                            0.64601                                           0.62780                                           0.61484                                           0.60385                                           0.59507                                           0.58888
10.576                                            0.64190                                           0.62196                                           0.60756                                           0.59526                                           0.58515                                           0.57764
10.581                                            0.64067                                           0.61783                                           0.60128                                           0.58692                                           0.57478                                           0.56525
10.586                                            0.64438                                           0.61754                                           0.59819                                           0.58119                                           0.56649                                           0.55448
10.591                                            0.65482                                           0.62312                                           0.60051                                           0.58059                                           0.56319                                           0.54864
10.596                                            0.67205                                           0.63539                                           0.60926                                           0.58657                                           0.56679                                           0.55010
10.601                                            0.69466                                           0.65383                                           0.62408                                           0.59906                                           0.57749                                           0.55937
10.606                                            0.72032                                           0.67695                                           0.64372                                           0.61706                                           0.59448                                           0.57576
10.611                                            0.74636                                           0.70250                                           0.66620                                           0.63868                                           0.61588                                           0.59738
10.616                                            0.76997                                           0.72741                                           0.68871                                           0.66095                                           0.63847                                           0.62067
10.621                                            0.78919                                           0.74891                                           0.70854                                           0.68089                                           0.65892                                           0.64192
10.626                                            0.80362                                           0.76574                                           0.72435                                           0.69694                                           0.67543                                           0.65915
