hidden_dim,n_layers,lr,batch_size,weight_decay,alpha,wl_mean_rmse,Q_mean_rmse,wl_std_rmse,Q_std_rmse
64,3,0.0005,32,0.001,3.0,0.036230825,31.816608,0.0061000152,4.3991613
64,3,0.0005,32,0.001,4.0,0.034381855,31.420359,0.005842384,3.7407048
64,3,0.0005,32,0.01,1.0,0.052331038,36.926125,0.017084459,6.5067153
64,3,0.0005,32,0.01,2.0,0.053028993,36.232746,0.0133273015,7.8615227
64,3,0.0005,32,0.01,3.0,0.053764306,36.861946,0.011791597,7.9560804
64,3,0.0005,32,0.01,4.0,0.052124005,37.63257,0.010734976,8.156726
64,3,0.0005,64,0.0,1.0,0.03658756,35.27547,0.006564264,6.0475807
64,3,0.0005,64,0.0,2.0,0.03668974,34.13545,0.0056513995,3.2626212
64,3,0.0005,64,0.0,3.0,0.0358809,35.6245,0.00603124,7.695254
64,3,0.0005,64,0.0,4.0,0.037708044,35.608517,0.008110817,7.916948
64,3,0.0005,64,0.0001,1.0,0.03436978,34.359478,0.006587803,6.293918
64,3,0.0005,64,0.0001,2.0,0.041348092,33.268738,0.007468535,5.603014
64,3,0.0005,64,0.0001,3.0,0.039069336,34.889427,0.012554533,6.8771544
64,3,0.0005,64,0.0001,4.0,0.042727,34.855434,0.011852347,4.65791
64,3,0.0005,64,0.001,1.0,0.040573277,34.471165,0.007822229,6.665955
64,3,0.0005,64,0.001,2.0,0.039613657,34.298607,0.009208224,6.003645
64,3,0.0005,64,0.001,3.0,0.03622595,33.98101,0.0051972624,5.9086123
64,3,0.0005,64,0.001,4.0,0.0383032,34.442554,0.0094934935,3.5101032
64,3,0.0005,64,0.01,1.0,0.06006164,38.822395,0.017397216,6.921062
64,3,0.0005,64,0.01,2.0,0.06210289,40.444305,0.015466142,6.756406
64,3,0.0005,64,0.01,3.0,0.059436966,39.896996,0.012414365,6.442513
64,3,0.0005,64,0.01,4.0,0.057833858,40.549633,0.012524406,5.9479713
64,3,0.001,32,0.0,1.0,0.029638141,29.482193,0.005287206,5.2083516
64,3,0.001,32,0.0,2.0,0.03554784,30.893103,0.007288652,7.1965823
64,3,0.001,32,0.0,3.0,0.033702154,30.575352,0.0030260743,4.4791574
64,3,0.001,32,0.0,4.0,0.035846256,29.31095,0.011330359,4.81016
64,3,0.001,32,0.0001,1.0,0.030176217,29.50174,0.009312015,5.5823793
64,3,0.001,32,0.0001,2.0,0.033799037,29.899109,0.00900032,5.288383
64,3,0.001,32,0.0001,3.0,0.028893817,28.556873,0.008859731,4.2592335
64,3,0.001,32,0.0001,4.0,0.028809156,29.394485,0.007491124,4.6429863
64,3,0.001,32,0.001,1.0,0.03324225,28.43872,0.0094881905,4.0641117
64,3,0.001,32,0.001,2.0,0.03323766,30.18064,0.0060422136,3.35291
64,3,0.001,32,0.001,3.0,0.029887727,29.418106,0.005828462,2.7949052
64,3,0.001,32,0.001,4.0,0.034296263,30.211487,0.009096091,2.5864756
64,3,0.001,32,0.01,1.0,0.044639956,34.117317,0.014940995,8.655867
64,3,0.001,32,0.01,2.0,0.046499558,34.5648,0.012588045,8.426616
64,3,0.001,32,0.01,3.0,0.04580068,35.090862,0.009586193,7.2386713
64,3,0.001,32,0.01,4.0,0.045116846,35.37871,0.009143202,7.822842
64,3,0.001,64,0.0,1.0,0.034149177,32.2921,0.009095704,9.739029
64,3,0.001,64,0.0,2.0,0.029983062,30.799194,0.004281743,4.913115
64,3,0.001,64,0.0,3.0,0.03817915,31.739075,0.011961489,5.4767103
64,3,0.001,64,0.0,4.0,0.03231155,32.172165,0.00985936,2.5442166
64,3,0.001,64,0.0001,1.0,0.032525755,29.8042,0.0059788963,6.848255
64,3,0.001,64,0.0001,2.0,0.035349026,31.40414,0.008459506,5.312497
64,3,0.001,64,0.0001,3.0,0.035203286,32.200985,0.008820188,3.8154879
64,3,0.001,64,0.0001,4.0,0.033394344,31.721945,0.008365329,1.7359636
64,3,0.001,64,0.001,1.0,0.029024389,28.36637,0.005317943,3.4156473
64,3,0.001,64,0.001,2.0,0.031927563,31.656223,0.0077891555,5.5352077
64,3,0.001,64,0.001,3.0,0.033350814,31.020771,0.0073105292,3.222656
64,3,0.001,64,0.001,4.0,0.032892823,30.419369,0.0059410008,1.3655452
64,3,0.001,64,0.01,1.0,0.046806276,35.632317,0.015290431,7.43675
64,3,0.001,64,0.01,2.0,0.047708154,36.00537,0.013558506,8.526096
64,3,0.001,64,0.01,3.0,0.050698906,35.761524,0.011173833,7.715201
64,3,0.001,64,0.01,4.0,0.0499892,36.497578,0.009170068,7.9064064
64,3,0.005,32,0.0,1.0,0.032688215,27.554478,0.010626856,8.019592
64,3,0.005,32,0.0,2.0,0.027208209,25.547525,0.0070721167,4.5319767
64,3,0.005,32,0.0,3.0,0.03654874,29.338907,0.014599065,7.7530165
64,3,0.005,32,0.0,4.0,0.033118833,28.810349,0.009306221,6.921821
64,3,0.005,32,0.0001,1.0,0.027055863,26.342896,0.01013551,4.0888844
64,3,0.005,32,0.0001,2.0,0.025280595,24.713867,0.0069628484,7.144294
